session_timestamp,participant_id,task,technique,hand_location,condition_label,condition_index,condition_total,condition_order,condition_sequence_index,condition_sequence_total,tool_id,trial_index_global,trial_index_in_task,trial_result,timed_out,success,completion_time_s,translation_error_cm,rotation_error_deg,scaling_error_pct,time_to_first_within_tol_s,eligible_breaks,error_recovery_time_s,micro_axis_active_duration_s,micro_axis_integral,macro_path_length_m,phone_path_length_m,mode_switch_count
2026-08-24_11-00-45,P02,Placement,Macro,SideOfBody,Macro - Side Of Body,1,4,1:Macro Side[Macro-Side] > 2:Macro Near[Macro-Near] > 3:Micro Near[Micro-Near] > 4:Micro Side[Micro-Side],2,4,FireExtinguisher,1,2,success,0,1,27.33783,7.684621,,,21.53445,1,0.15402,,,6.573292,4.486865,0
2026-08-24_11-00-45,P02,Placement,Macro,SideOfBody,Macro - Side Of Body,1,4,1:Macro Side[Macro-Side] > 2:Macro Near[Macro-Near] > 3:Micro Near[Micro-Near] > 4:Micro Side[Micro-Side],2,4,Wrench,2,3,success,0,1,44.31953,5.128105,,,41.05457,0,0,,,9.052481,6.190396,0
2026-08-24_11-00-45,P02,Placement,Macro,SideOfBody,Macro - Side Of Body,1,4,1:Macro Side[Macro-Side] > 2:Macro Near[Macro-Near] > 3:Micro Near[Micro-Near] > 4:Micro Side[Micro-Side],2,4,Tape,3,4,success,0,1,24.3996,7.079171,,,15.90067,3,3.440874,,,4.931475,3.370509,0
2026-08-24_11-00-45,P02,Rotation,Macro,SideOfBody,Macro - Side Of Body,1,4,1:Macro Side[Macro-Side] > 2:Macro Near[Macro-Near] > 3:Micro Near[Micro-Near] > 4:Micro Side[Micro-Side],2,4,FireExtinguisher,4,2,success,0,1,63.03854,,25.3857,,23.63446,2,35.73711,,,10.15369,7.030208,0
2026-08-24_11-00-45,P02,Rotation,Macro,SideOfBody,Macro - Side Of Body,1,4,1:Macro Side[Macro-Side] > 2:Macro Near[Macro-Near] > 3:Micro Near[Micro-Near] > 4:Micro Side[Micro-Side],2,4,Wrench,5,3,success,0,1,42.66544,,36.84187,,,0,,,,4.619343,3.201761,0
2026-08-24_11-00-45,P02,Rotation,Macro,SideOfBody,Macro - Side Of Body,1,4,1:Macro Side[Macro-Side] > 2:Macro Near[Macro-Near] > 3:Micro Near[Micro-Near] > 4:Micro Side[Micro-Side],2,4,Tape,6,4,success,0,1,14.16583,,23.90648,,,0,,,,1.437758,0.997322,0
2026-08-24_11-00-45,P02,Scaling,Macro,SideOfBody,Macro - Side Of Body,1,4,1:Macro Side[Macro-Side] > 2:Macro Near[Macro-Near] > 3:Micro Near[Micro-Near] > 4:Micro Side[Micro-Side],2,4,FireExtinguisher,7,2,success,0,1,16.16779,,,1.994902,12.63397,1,2.197409,,,4.457963,3.006862,0
2026-08-24_11-00-45,P02,Scaling,Macro,SideOfBody,Macro - Side Of Body,1,4,1:Macro Side[Macro-Side] > 2:Macro Near[Macro-Near] > 3:Micro Near[Micro-Near] > 4:Micro Side[Micro-Side],2,4,Wrench,8,3,success,0,1,12.43427,,,12.61305,9.199036,1,1.501953,,,1.801854,1.222833,0
2026-08-24_11-00-45,P02,Scaling,Macro,SideOfBody,Macro - Side Of Body,1,4,1:Macro Side[Macro-Side] > 2:Macro Near[Macro-Near] > 3:Micro Near[Micro-Near] > 4:Micro Side[Micro-Side],2,4,Tape,9,4,success,0,1,18.37,,,4.867208,7.034363,2,6.13679,,,2.473046,1.688881,0
2026-08-24_11-00-45,P02,Placement,Macro,NearHead,Macro - Near Head,2,4,1:Macro Side[Macro-Side] > 2:Macro Near[Macro-Near] > 3:Micro Near[Micro-Near] > 4:Micro Side[Micro-Side],2,4,FireExtinguisher,10,2,success,0,1,17.52966,1.86014,,,14.52881,1,0.065999,,,4.872872,3.242042,0
2026-08-24_11-00-45,P02,Placement,Macro,NearHead,Macro - Near Head,2,4,1:Macro Side[Macro-Side] > 2:Macro Near[Macro-Near] > 3:Micro Near[Micro-Near] > 4:Micro Side[Micro-Side],2,4,Wrench,11,3,success,0,1,13.30066,4.84058,,,9.367554,1,0.268073,,,4.148091,2.827781,0
2026-08-24_11-00-45,P02,Placement,Macro,NearHead,Macro - Near Head,2,4,1:Macro Side[Macro-Side] > 2:Macro Near[Macro-Near] > 3:Micro Near[Micro-Near] > 4:Micro Side[Micro-Side],2,4,Tape,12,4,success,0,1,11.03345,7.586838,,,7.101929,0,0,,,3.400825,2.304546,0
